Study_ID,study_name,country,gradient_id,species,family,ele_level,trait,treatment,control,sd_treatment,sd_control,n_treatment,n_control,pt,LONG,LAT,ARIDITY_INDEX,SOLAR_RADIATION,MEAN_GROWING_SEASON_TEMPERATURE,elevation_treatment,elevation_control,elevation,elevation_log
3,Bansal and Germino (2010),USA,Teton Range,Abies lasiocarpa,Pinaceae,l2,SLA,3.283695,4.0391003,1.145214838,0.477685283,6,6,w,-110.9,43.79,0.9641,132.2683716,10.4666665,2440,2190,250,5.521460918
3,Bansal and Germino (2010),USA,Teton Range,Abies lasiocarpa,Pinaceae,l3,SLA,3.34668,4.0391003,0.8584009,0.477685283,6,6,w,-110.9,43.79,0.9641,132.2683716,10.4666665,2620,2190,430,6.063785209
3,Bansal and Germino (2010),USA,Teton Range,Pseudotsuga menziesii,Pinaceae,l2,SLA,4.740399,4.3311516,1.049269305,0.860446959,6,6,w,-110.9,43.79,0.9641,132.2683716,10.4666665,2740,2620,120,4.787491743
3,Bansal and Germino (2010),USA,Teton Range,Pseudotsuga menziesii,Pinaceae,l3,SLA,4.6766827,4.3311516,1.145215573,0.860446959,6,6,w,-110.9,43.79,0.9641,132.2683716,10.4666665,3050,2620,430,6.063785209
34,Li et al. (2004),China,West Sichuan,Picea likiangensis,Pinaceae,l2,SLA,9.323157895,10.20052632,0.526315789,0.526315789,10,10,w,104.33,32.41,0.7084,128.4674225,21.36666632,3770,3600,170,5.135798437
34,Li et al. (2004),China,West Sichuan,Picea likiangensis,Pinaceae,l3,SLA,8.444736842,10.20052632,0.526842105,0.526315789,10,10,w,104.33,32.41,0.7084,128.4674225,21.36666632,3900,3600,300,5.703782475
34,Li et al. (2004),China,West Sichuan,Picea asperata,Pinaceae,l2,SLA,8.778947368,9.447368421,0.737894737,0.736842105,10,10,w,104.33,32.41,0.7084,128.4674225,21.36666632,3770,3600,170,5.135798437
34,Li et al. (2004),China,West Sichuan,Picea asperata,Pinaceae,l3,SLA,7.691578947,9.447368421,0.842631579,0.736842105,10,10,w,104.33,32.41,0.7084,128.4674225,21.36666632,3900,3600,300,5.703782475
38,Li et al. (2017),China,Wuyishan National Nature Reserve,Pinus hwangshanensis,Pinaceae,l2,SLA,9.32328499,9.716463518,0.191549443,0.320331029,45,45,w,117.93,28.01,1.7669,138.5894165,25.0666666,1600,1200,400,5.991464547
38,Li et al. (2017),China,Wuyishan National Nature Reserve,Pinus hwangshanensis,Pinaceae,l3,SLA,10.30830198,9.716463518,0.253813486,0.320331029,45,45,w,117.93,28.01,1.7669,138.5894165,25.0666666,2000,1200,800,6.684611728
42,Luo et al. (2005),China,Hailuogou Natural Reserve 2,Abies fabri,Pinaceae,l2,SLA,4.433333333,4.6,1.46401275,1.452583905,30,30,w,101.96,29.53,1.512,136.6515808,5.299999873,3050,2850,200,5.298317367
42,Luo et al. (2005),China,Hailuogou Natural Reserve 2,Abies fabri,Pinaceae,l3,SLA,4.833333333,4.6,2.025668614,1.452583905,30,30,w,101.96,29.53,1.512,136.6515808,5.299999873,3700,2850,850,6.745236349
66,Wieser er al. (2010),Austria,Mt. Patscherkofel,Pinus cembra,Pinaceae,l2,SLA,3.557073685,4.392971859,0.596238368,0.736352013,3,3,w,11.45,47.2,1.5205,119.1776199,12.26666633,2100,1950,150,5.010635294
66,Wieser er al. (2010),Austria,Mt. Patscherkofel,Pinus cembra,Pinaceae,l3,SLA,3.652955559,4.392971859,0.612310132,0.736352013,3,3,w,11.45,47.2,1.5205,119.1776199,12.26666633,2180,1950,230,5.438079309
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l2,SLA,3.308670004,3.541306791,0.05068173,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,1505,1420,85,4.442651256
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l3,SLA,3.695303072,3.541306791,0.124946183,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,1622,1420,202,5.308267697
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l4,SLA,3.472914067,3.541306791,0.11400438,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,1757,1420,337,5.82008293
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l5,SLA,3.604065586,3.541306791,0.058830191,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,1850,1420,430,6.063785209
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l6,SLA,3.616775604,3.541306791,0.069638887,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,1962,1420,542,6.295266001
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l7,SLA,3.841906681,3.541306791,0.081738027,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,2045,1420,625,6.43775165
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l8,SLA,3.971964085,3.541306791,0.058904649,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,2110,1420,690,6.536691598
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l9,SLA,3.599522663,3.541306791,0.072307823,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,2240,1420,820,6.70930434
72,Zhang et al. (2016),China,Tianshan Mountains,Picea schrenkiana,Pinaceae,l10,SLA,3.481467261,3.541306791,0.100566579,0.072956089,5,5,w,87.27,43.55,0.2833,149.0627441,17.95000045,2300,1420,880,6.779921907
16,Dogan et al. (2015),Turkey,Samsun_shade,Hedera helix,Araliaceae,l2,SLA,21.70318313,21.23152709,6.803414764,4.619463094,5,5,w,36.39,41.24,0.7641,148.3995972,21.09999959,200,10,190,5.247024072
16,Dogan et al. (2015),Turkey,Samsun_shade,Hedera helix,Araliaceae,l3,SLA,19.49152542,21.23152709,2.273967435,4.619463094,5,5,w,36.39,41.24,0.7641,148.3995972,21.09999959,400,10,390,5.966146739
16,Dogan et al. (2015),Turkey,Samsun_sun,Hedera helix,Araliaceae,l2,SLA,19.14710414,20.55453991,6.066615438,3.72450892,5,5,w,36.39,41.24,0.7641,148.3995972,21.09999959,200,10,190,5.247024072
16,Dogan et al. (2015),Turkey,Samsun_sun,Hedera helix,Araliaceae,l3,SLA,16.77966102,20.55453991,2.273967435,3.72450892,5,5,w,36.39,41.24,0.7641,148.3995972,21.09999959,400,10,390,5.966146739
30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,l2,SLA,5.869599085,6.233773127,0.207202161,0.392418631,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4260,4190,70,4.248495242
30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,l3,SLA,5.785638459,6.233773127,0.205556493,0.392418631,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4310,4190,120,4.787491743
30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,l4,SLA,4.945963272,6.233773127,0.350509898,0.392418631,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4390,4190,200,5.298317367
30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,l5,SLA,4.916666667,6.233773127,0.385644498,0.392418631,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4450,4190,260,5.560681631
30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,l6,SLA,4.751675077,6.233773127,0.057016052,0.392418631,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4500,4190,310,5.736572297
30,Kong et al. (2012),China,Sergyemla Mountains (SSlope),Rhododendron aganniphum,Ericaceae,l2,SLA,5.156347368,5.423084347,0.207214313,0.12615271,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4280,4210,70,4.248495242
30,Kong et al. (2012),China,Sergyemla Mountains (SSlope),Rhododendron aganniphum,Ericaceae,l3,SLA,4.858142388,5.423084347,0.205510222,0.12615271,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4370,4210,160,5.075173815
30,Kong et al. (2012),China,Sergyemla Mountains (SSlope),Rhododendron aganniphum,Ericaceae,l4,SLA,4.70021645,5.423084347,0.13121597,0.12615271,30,30,w,94.6,29.6,0.5902,155.5258026,7.133333306,4450,4210,240,5.480638923
39,Li et al. (2014)B,China,Mount Jinfo,Chimonobambusa utilis,Poaceae,l2,SLA,23.935,21.151,2.414478826,1.278253496,12,12,w,107.15,29.01,1.5128,122.1339493,18.23333327,2000,1500,500,6.214608098
55,Shi et al. (2015),China,Wolong National Nature Reserve  4,Salix atopantha,Salicaceae,l2,SLA,14.568,14.595,0.599266218,1.270086611,6,6,w,104.34,32.41,0.7106,128.228241,20.98333327,3500,2500,1000,6.907755279
4,Bilgin and Guzel (2017),Turkey,Firtina Valley,Tilia rubra,Tiliaceae,l2,SLA,17.3,16,3.39411255,2.121320344,5,5,w,40.96,40.97,1.1882,154.4920349,19.48333343,679,330,349,5.855071922
4,Bilgin and Guzel (2017),Turkey,Firtina Valley,Tilia rubra,Tiliaceae,l3,SLA,19.5,16,2.121320344,2.121320344,5,5,w,40.96,40.97,1.1882,154.4920349,19.48333343,974,330,644,6.467698726
12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus aliena,Fagaceae,l2,SLA,15.4,10.7,3.03,1.77,5,5,w,93.2,29.16,0.4008,155.9146118,10.28333346,1870,1480,390,5.966146739
12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus aliena,Fagaceae,l3,SLA,14.5,10.7,2.72,1.77,5,5,w,93.2,29.16,0.4008,155.9146118,10.28333346,2070,1480,590,6.380122537
12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus spinosa,Fagaceae,l2,SLA,6.66,7.79,0.97,1.21,10,10,w,93.2,29.16,0.4008,155.9146118,10.28333346,2100,1970,130,4.86753445
12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus spinosa,Fagaceae,l3,SLA,5.89,7.79,1.16,1.21,10,10,w,93.2,29.16,0.4008,155.9146118,10.28333346,2200,1970,230,5.438079309
18,Feng et al. (2013),China,Wolong National Nature Reserve,Quercus aquifolioides,Fagaceae,l2,SLA,6.448,6.629,0.273664028,0.540399852,12,12,w,103.1,31.02,1.4065,129.617569,9.833333135,3500,2600,900,6.802394763
27,Kilic et al. (2012),Turkey,Amasya,Amelanchier rotundifolia,Rosaceae,l2,SLA,6.19,6.46,1.48492424,1.767766953,10,10,w,35.85,40.65,0.4029,158.2686462,19.11666663,600,450,150,5.010635294
27,Kilic et al. (2012),Turkey,Amasya,Amelanchier rotundifolia,Rosaceae,l3,SLA,6.37,6.46,1.13137085,1.767766953,10,10,w,35.85,40.65,0.4029,158.2686462,19.11666663,800,450,350,5.857933154
27,Kilic et al. (2012),Turkey,Amasya,Rhamnus oleoides,Rhamnaceae,l2,SLA,6.74,8.06,1.626345597,1.979898987,10,10,w,35.85,40.65,0.4029,158.2686462,19.11666663,600,450,150,5.010635294
27,Kilic et al. (2012),Turkey,Amasya,Rhamnus oleoides,Rhamnaceae,l3,SLA,6.71,8.06,2.121320344,1.979898987,10,10,w,35.85,40.65,0.4029,158.2686462,19.11666663,800,450,350,5.857933154
31,Kudo (1996),Japan,Taisetsu Mountains,Betula platyphylla,Betulaceae,l2,SLA,16.48162041,14.60315079,3.804884383,2.711904636,35,35,w,142.86,43.71,3.501,114.5209427,10,700,140,560,6.327936784
31,Kudo (1996),Japan,Taisetsu Mountains,Betula ermanii,Betulaceae,l2,SLA,15.60306031,14.64108911,3.263041114,2.431104286,35,35,w,142.86,43.71,3.501,114.5209427,10,700,140,560,6.327936784
31,Kudo (1996),Japan,Taisetsu Mountains,Betula ermanii,Betulaceae,l3,SLA,21.02216472,14.64108911,2.449591771,2.431104286,35,35,w,142.86,43.71,3.501,114.5209427,10,1700,140,1560,7.3524411
31,Kudo (1996),Japan,Taisetsu Mountains,Alnus maximowiczii,Betulaceae,l2,SLA,21.43564356,14.00990099,5.6941454,4.880696057,35,35,w,142.86,43.71,3.501,114.5209427,10,750,140,610,6.413458957
31,Kudo (1996),Japan,Taisetsu Mountains,Alnus maximowiczii,Betulaceae,l3,SLA,15.04950495,14.00990099,1.626898686,4.880696057,35,35,w,142.86,43.71,3.501,114.5209427,10,1900,140,1760,7.473069088
31,Kudo (1996),Japan,Taisetsu Mountains,Quercus mongolica,Fagaceae,l2,SLA,18.4961362,14.21999517,4.870775943,2.440348028,35,35,w,142.86,43.71,3.501,114.5209427,10,700,140,560,6.327936784
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l2,SLA,6.343369101,5.885321388,1.277034391,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,2200,2000,200,5.298317367
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l3,SLA,7.659631212,5.885321388,1.277297942,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,2600,2000,600,6.396929655
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l4,SLA,8.016168351,5.885321388,1.757355344,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,2800,2000,800,6.684611728
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l5,SLA,6.504094176,5.885321388,1.19836454,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,3000,2000,1000,6.907755279
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l6,SLA,5.269882279,5.885321388,1.677763066,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,3200,2000,1200,7.090076836
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l7,SLA,4.969892697,5.885321388,0.959719479,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,3400,2000,1400,7.244227516
35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,l8,SLA,4.468007084,5.885321388,0.959587704,1.437668477,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,3600,2000,1600,7.377758908
36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,l2,SLA,16.5,15.26470588,1.085095276,0.86807622,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,2410,2000,410,6.01615716
36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,l3,SLA,18.76470588,15.26470588,0.86807622,0.86807622,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,2800,2000,800,6.684611728
36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,l4,SLA,15.26470588,15.26470588,1.085095276,0.86807622,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,3205,2000,1205,7.094234846
36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,l5,SLA,13.61764706,15.26470588,0.86807622,0.86807622,10,10,w,103.1,31.02,1.4065,129.617569,9.833333135,3600,2000,1600,7.377758908
42,Luo et al. (2005),China,Hailuogou Natural Reserve,Cyclobalanopsis oxyodon,Fagaceae,l2,SLA,6.033333333,5.866666667,0.907377173,0.907377173,30,30,w,101.96,29.53,1.512,136.6515808,5.299999873,2200,1900,300,5.703782475
42,Luo et al. (2005),China,Hailuogou Natural Reserve,Lithocarpus cleistocarpus,Fagaceae,l2,SLA,5.9,5.966666667,1.5,0.611010093,30,30,w,101.96,29.53,1.512,136.6515808,5.299999873,2200,1900,300,5.703782475
42,Luo et al. (2005),China,Hailuogou Natural Reserve,Phoebe chinensis,Lauraceae,l2,SLA,10,7.933333333,2.066397832,3.066485502,30,30,w,101.96,29.53,1.512,136.6515808,5.299999873,2200,1900,300,5.703782475
44,Macek et al. (2009),Chile,Cordillera Occidental (West slopes),Polylepis rugulosa,Rosaceae,l2,SLA,3.178988327,3.279766537,0.164442353,0.207075556,5,5,w,-69.51,-18.23,0.2694,176.6249847,5.666666547,3720,3180,540,6.29156914
44,Macek et al. (2009),Chile,Cordillera Occidental (West slopes),Polylepis rugulosa,Rosaceae,l3,SLA,2.903891051,3.279766537,0.194894641,0.207075556,5,5,w,-69.51,-18.23,0.2694,176.6249847,5.666666547,4300,3180,1120,7.021083964
44,Macek et al. (2009),Bolivia,Cordillera Occidental/western Altiplano,Polylepis tarapacana,Rosaceae,l2,SLA,3.176264591,3.350583658,0.103537778,0.133990066,5,5,w,-68.95,-18.11,0.3278,174.0678406,4.650000095,4640,4280,360,5.886104031
44,Macek et al. (2009),Bolivia,Cordillera Occidental/western Altiplano,Polylepis tarapacana,Rosaceae,l3,SLA,3.241634241,3.350583658,0.127899608,0.133990066,5,5,w,-68.95,-18.11,0.3278,174.0678406,4.650000095,5010,4280,730,6.593044534
44,Macek et al. (2009),Bolivia,Eastern Altiplano,Polylepis tomentella,Rosaceae,l2,SLA,3.13540856,3.217120623,0.109628235,0.091356863,5,5,w,-66.46,-19.75,0.1634,177.959671,5.633333127,4620,4300,320,5.768320996
44,Macek et al. (2009),Bolivia,Eastern Altiplano,Polylepis tomentella,Rosaceae,l3,SLA,3.263424125,3.217120623,0.140080523,0.091356863,5,5,w,-66.46,-19.75,0.1634,177.959671,5.633333127,4900,4300,600,6.396929655
46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,l2,SLA,4.43902439,4.43902439,0.661241059,0.755704068,5,5,w,-155.6,19.48,1.9472,292.85,4.899999872,701,107,594,6.386879319
46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,l3,SLA,3.243902439,4.43902439,1.22801911,0.755704068,5,5,w,-155.6,19.48,1.9472,292.85,4.899999872,1280,107,1173,7.067319849
46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,l4,SLA,2.317073171,4.43902439,0.661241059,0.755704068,5,5,w,-155.6,19.48,1.9472,292.85,4.899999872,1981,107,1874,7.535830463
46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,l5,SLA,2.43902439,4.43902439,0.850167076,0.755704068,5,5,w,-155.6,19.48,1.9472,292.85,4.899999872,2469,107,2362,7.767263997
53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Alchornea triplinervia,Euphorbiaceae,l2,SLA,11.469,15.357,0.710140831,4.790852534,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,WET Serra do Mar,Alchornea triplinervia,Euphorbiaceae,l2,SLA,12.555,13.831,4.574346183,10.090928,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Hyeronima alchorneoides,Phyllanthaceae,l2,SLA,12.706,12.103,1.085995856,4.337055222,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,WET Serra do Mar,Hyeronima alchorneoides,Phyllanthaceae,l2,SLA,13.125,12.963,3.230274756,5.353769046,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Mollinedia schottiana,Monimiaceae,l2,SLA,14.827,23.741,4.179438599,2.232613491,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,WET Serra do Mar,Mollinedia schottiana,Monimiaceae,l2,SLA,16.248,19.44,6.056981674,9.318433345,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Rustia formosa,Rubiaceae,l2,SLA,14.674,24.289,5.525242076,23.2631744,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
53,Rosado et al. (2016),Brazil,WET Serra do Mar,Rustia formosa,Rubiaceae,l2,SLA,13.58,14.814,0.980340757,1.039230485,4,4,w,-45.05,-23.28,1.3161,130.2777557,19.29999987,1000,100,900,6.802394763
55,Shi et al. (2015),China,Wolong National Nature Reserve  4,Quercus spinosa,Fagaceae,l2,SLA,8.071,9.282,0.720013889,0.449449663,6,6,w,104.34,32.41,0.7106,128.228241,20.98333327,3500,2500,1000,6.907755279
67,Williams-Linera (2000),Mexico,Xalapa,Carpinus caroliniana,Betulaceae,l2,SLA,23.5,21.9,6.2,7.3,6,6,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
67,Williams-Linera (2000),Mexico,Xalapa,Clethra mexicana,Clethraceae,l2,SLA,9.6,10.9,1.8,1.5,5,5,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
67,Williams-Linera (2000),Mexico,Xalapa,Liquidambar styraciflua,Hamamelidaceae,l2,SLA,24,18.2,4.6,5.9,7,7,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
67,Williams-Linera (2000),Mexico,Xalapa,Quercus xalapensis,Fagaceae,l2,SLA,14,14.6,1.9,1.9,6,6,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
67,Williams-Linera (2000),Mexico,Xalapa,Hedyosmum mexicanum,Chloranthaceae,l2,SLA,20.6,22.5,6.6,11.3,3,3,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
67,Williams-Linera (2000),Mexico,Xalapa,Oreopanax xalapensis,Araliaceae,l2,SLA,8.4,9.8,3.8,3.5,5,5,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
67,Williams-Linera (2000),Mexico,Xalapa,Turpinia insignis,Staphyleaceae,l2,SLA,11.5,14.5,1.8,2.6,6,6,w,-96.95,19.5,1.2301,152.2857361,21.20000029,1470,1250,220,5.393627546
57,Sriladda et al. (2014),USA,Torrey,Shepherdia rotundifolia,Elaeagnaceae,l2,SLA,3.7,3.78,0.12,0.15,5,5,w,-111.2,38.16,0.2077,160.5241699,20.4666667,2295,1642,653,6.481577129
57,Sriladda et al. (2014),USA,Torrey,Shepherdia rotundifolia,Elaeagnaceae,l3,SLA,4.86,3.78,0.55,0.15,5,5,w,-111.2,38.16,0.2077,160.5241699,20.4666667,2507,1642,865,6.762729507
74,Zhu et al (2010),China,Kunlun Mountains,Calligonum roborovskii,Polygonaceae,l2,SLA,9.116071429,8.901785714,0.339285714,0.482142857,5,5,w,80.71,36.39,0.0318,154.4355774,19.58333349,2350,2100,250,5.521460918
74,Zhu et al (2010),China,Kunlun Mountains,Calligonum roborovskii,Polygonaceae,l3,SLA,9.526785714,8.901785714,0.508928571,0.482142857,5,5,w,80.71,36.39,0.0318,154.4355774,19.58333349,2600,2100,500,6.214608098
59,Sundqvist et al. (2011),Sweden,Abisko,Betula nana,Betulaceae,l2,SLA,11.05263158,13.81578947,0.394736842,0.789473684,5,5,w,18.96,68.23,1.8616,70.42392731,7.483333309,700,600,100,4.605170186
59,Sundqvist et al. (2011),Sweden,Abisko,Betula nana,Betulaceae,l3,SLA,11.84210526,13.81578947,1.184210526,0.789473684,5,5,w,18.96,68.23,1.8616,70.42392731,7.483333309,800,600,200,5.298317367
59,Sundqvist et al. (2011),Sweden,Abisko,Betula nana,Betulaceae,l4,SLA,11.84210526,13.81578947,1.184210526,0.789473684,5,5,w,18.96,68.23,1.8616,70.42392731,7.483333309,900,600,300,5.703782475
59,Sundqvist et al. (2011),Sweden,Abisko,Betula nana,Betulaceae,l5,SLA,13.42105263,13.81578947,1.184210526,0.789473684,5,5,w,18.96,68.23,1.8616,70.42392731,7.483333309,1000,600,400,5.991464547
1,Almeida et al. (2013),Ecuador,Reserva ecologica Antisana,Lasiocephalus ovatus,Asteraceae,l2,SLA,4.529134,4.2267715,0.975869417,1.122251534,10,10,h,-78.15,-0.466,1.8197,132.9417725,2.416666667,4400,4200,200,5.298317367
1,Almeida et al. (2013),Ecuador,Reserva ecologica Antisana,Lasiocephalus ovatus,Asteraceae,l3,SLA,5.1464565,4.2267715,1.268631714,1.122251534,10,10,h,-78.15,-0.466,1.8197,132.9417725,2.416666667,4500,4200,300,5.703782475
1,Almeida et al. (2013),Ecuador,Reserva ecologica Antisana,Lasiocephalus ovatus,Asteraceae,l4,SLA,5.1212597,4.2267715,1.317425107,1.122251534,10,10,h,-78.15,-0.466,1.8197,132.9417725,2.416666667,4700,4200,500,6.214608098
1,Almeida et al. (2013),Ecuador,Reserva ecologica Antisana,Lasiocephalus ovatus,Asteraceae,l5,SLA,4.3527557,4.2267715,1.21983832,1.122251534,10,10,h,-78.15,-0.466,1.8197,132.9417725,2.416666667,4800,4200,600,6.396929655
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium arctostaphylos,Ericaceae,l2,SLA,17.5,15.4,4.260281681,3.485685012,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,300,60,240,5.480638923
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium arctostaphylos,Ericaceae,l3,SLA,23.8,15.4,3.098386677,3.485685012,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,800,60,740,6.606650186
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium arctostaphylos,Ericaceae,l4,SLA,19,15.4,10.45705503,3.485685012,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,1100,60,1040,6.946975992
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium arctostaphylos,Ericaceae,l5,SLA,17.8,15.4,0.774596669,3.485685012,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,1300,60,1240,7.122866659
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium arctostaphylos,Ericaceae,l6,SLA,24.9,15.4,6.584071689,3.485685012,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,1600,60,1540,7.339537695
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium arctostaphylos,Ericaceae,l7,SLA,16.8,15.4,5.809475019,3.485685012,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,1800,60,1740,7.461640392
5,Bilgin et al. (2016),Turkey,Solakli Valley,Vaccinium myrtillus,Ericaceae,l2,SLA,16.4,18.7,2.323790008,1.936491673,3,3,h,40.28,40.6,0.6996,158.1668701,11.38333337,2300,2100,200,5.298317367
10,Castrillo (2006),Venezuela,Parque nacional Sierra Nevada,Espeletia schultzii,Asteraceae,l2,SLA,7.569165359,11.29309684,0.638770987,0.638359408,10,10,h,-70.45,8.08,0.9556,154.6252441,28.4333334,3550,3100,450,6.109247583
10,Castrillo (2006),Venezuela,Parque nacional Sierra Nevada,Espeletia schultzii,Asteraceae,l3,SLA,5.593446084,11.29309684,0.78227495,0.638359408,10,10,h,-70.45,8.08,0.9556,154.6252441,28.4333334,4200,3100,1100,7.003065459
15,Cranston et al. (2015),New Zeland,Otago,Donatia novae-zelandiae,Stylidiaceae,l2,SLA,7.588958478,9.467254311,0.984621303,1.421673579,24,24,h,169.85,-46.01,1.1354,119.8014221,13.14999994,880,0,880,6.779921907
